"","Age","Year","Population","CoB","Age group","Age group (condensed)"
"1326","50",2013,767490,"Total","50-54","15-64"
"1327","51",2013,750609,"Total","50-54","15-64"
"1328","52",2013,724408,"Total","50-54","15-64"
"1329","53",2013,695250,"Total","50-54","15-64"
"1330","54",2013,679756,"Total","50-54","15-64"
"1331","55",2013,664642,"Total","55-59","15-64"
"1332","56",2013,639761,"Total","55-59","15-64"
"1333","57",2013,617562,"Total","55-59","15-64"
"1334","58",2013,595109,"Total","55-59","15-64"
"1335","59",2013,597150,"Total","55-59","15-64"
"1336","60",2013,589930,"Total","60-64","15-64"
"1337","61",2013,573886,"Total","60-64","15-64"
"1338","62",2013,578185,"Total","60-64","15-64"
"1339","63",2013,591007,"Total","60-64","15-64"
"1340","64",2013,606763,"Total","60-64","15-64"
"1341","65",2013,641210,"Total","65-69","65+"
"1342","66",2013,696729,"Total","65-69","65+"
"1343","67",2013,537844,"Total","65-69","65+"
"1344","68",2013,521990,"Total","65-69","65+"
"1345","69",2013,520026,"Total","65-69","65+"
"1346","70",2013,483169,"Total","70-74","65+"
"1347","71",2013,431292,"Total","70-74","65+"
"1348","72",2013,387792,"Total","70-74","65+"
"1349","73",2013,403415,"Total","70-74","65+"
"1350","74",2013,400106,"Total","70-74","65+"
"1351","75",2013,388543,"Total","75-79","65+"
"1352","76",2013,368394,"Total","75-79","65+"
"1353","77",2013,349506,"Total","75-79","65+"
"1354","78",2013,331226,"Total","75-79","65+"
"1355","79",2013,305805,"Total","75-79","65+"
"1356","80",2013,289971,"Total","80-84","65+"
"1357","81",2013,280858,"Total","80-84","65+"
"1358","82",2013,265171,"Total","80-84","65+"
"1359","83",2013,245045,"Total","80-84","65+"
"1360","84",2013,219220,"Total","80-84","65+"
"1361","85",2013,195323,"Total","85-89","65+"
"1362","86",2013,176725,"Total","85-89","65+"
"1363","87",2013,157983,"Total","85-89","65+"
"1364","88",2013,137840,"Total","85-89","65+"
"1365","89",2013,119583,"Total","85-89","65+"
"1366",NA,2013,450413,"Total",NA,NA
"1367","0",2014,664183,"Total","0-4","0-14"
"1368","1",2014,682703,"Total","0-4","0-14"
"1369","2",2014,707024,"Total","0-4","0-14"
"1370","3",2014,694107,"Total","0-4","0-14"
"1371","4",2014,682940,"Total","0-4","0-14"
"1372","5",2014,673956,"Total","5-9","0-14"
"1373","6",2014,679645,"Total","5-9","0-14"
"1374","7",2014,657784,"Total","5-9","0-14"
"1375","8",2014,644277,"Total","5-9","0-14"
"1376","9",2014,616703,"Total","5-9","0-14"
"1377","10",2014,605945,"Total","10-14","0-14"
"1378","11",2014,588343,"Total","10-14","0-14"
"1379","12",2014,577811,"Total","10-14","0-14"
"1380","13",2014,592716,"Total","10-14","0-14"
"1381","14",2014,608240,"Total","10-14","0-14"
"1382","15",2014,627179,"Total","15-19","15-64"
"1383","16",2014,634876,"Total","15-19","15-64"
"1384","17",2014,653269,"Total","15-19","15-64"
"1385","18",2014,655753,"Total","15-19","15-64"
"1386","19",2014,659877,"Total","15-19","15-64"
"1387","20",2014,688589,"Total","20-24","15-64"
"1388","21",2014,696363,"Total","20-24","15-64"
"1389","22",2014,725657,"Total","20-24","15-64"
"1390","23",2014,751543,"Total","20-24","15-64"
"1391","24",2014,744265,"Total","20-24","15-64"
"1392","25",2014,739681,"Total","25-29","15-64"
"1393","26",2014,750246,"Total","25-29","15-64"
"1394","27",2014,734985,"Total","25-29","15-64"
"1395","28",2014,744417,"Total","25-29","15-64"
"1396","29",2014,749053,"Total","25-29","15-64"
"1397","30",2014,733085,"Total","30-34","15-64"
"1398","31",2014,740124,"Total","30-34","15-64"
"1399","32",2014,739988,"Total","30-34","15-64"
"1400","33",2014,746297,"Total","30-34","15-64"
"1401","34",2014,747715,"Total","30-34","15-64"
"1402","35",2014,717222,"Total","35-39","15-64"
"1403","36",2014,668867,"Total","35-39","15-64"
"1404","37",2014,658257,"Total","35-39","15-64"
"1405","38",2014,669407,"Total","35-39","15-64"
"1406","39",2014,682251,"Total","35-39","15-64"
"1407","40",2014,693835,"Total","40-44","15-64"
"1408","41",2014,723529,"Total","40-44","15-64"
"1409","42",2014,753580,"Total","40-44","15-64"
"1410","43",2014,777644,"Total","40-44","15-64"
"1411","44",2014,758816,"Total","40-44","15-64"
"1412","45",2014,776700,"Total","45-49","15-64"
"1413","46",2014,775852,"Total","45-49","15-64"
"1414","47",2014,787049,"Total","45-49","15-64"
"1415","48",2014,787545,"Total","45-49","15-64"
"1416","49",2014,791217,"Total","45-49","15-64"
"1417","50",2014,783475,"Total","50-54","15-64"
"1418","51",2014,766662,"Total","50-54","15-64"
"1419","52",2014,749793,"Total","50-54","15-64"
"1420","53",2014,723407,"Total","50-54","15-64"
"1421","54",2014,693951,"Total","50-54","15-64"
"1422","55",2014,678012,"Total","55-59","15-64"
"1423","56",2014,662868,"Total","55-59","15-64"
"1424","57",2014,637850,"Total","55-59","15-64"
"1425","58",2014,615181,"Total","55-59","15-64"
"1426","59",2014,592670,"Total","55-59","15-64"
"1427","60",2014,594213,"Total","60-64","15-64"
"1428","61",2014,586924,"Total","60-64","15-64"
"1429","62",2014,570678,"Total","60-64","15-64"
"1430","63",2014,574970,"Total","60-64","15-64"
"1431","64",2014,587146,"Total","60-64","15-64"
"1432","65",2014,601943,"Total","65-69","65+"
"1433","66",2014,635751,"Total","65-69","65+"
"1434","67",2014,690209,"Total","65-69","65+"
"1435","68",2014,531985,"Total","65-69","65+"
"1436","69",2014,515573,"Total","65-69","65+"
"1437","70",2014,512750,"Total","70-74","65+"
"1438","71",2014,475767,"Total","70-74","65+"
"1439","72",2014,423577,"Total","70-74","65+"
"1440","73",2014,380351,"Total","70-74","65+"
"1441","74",2014,394967,"Total","70-74","65+"
"1442","75",2014,390814,"Total","75-79","65+"
"1443","76",2014,378656,"Total","75-79","65+"
"1444","77",2014,357814,"Total","75-79","65+"
"1445","78",2014,338316,"Total","75-79","65+"
"1446","79",2014,319358,"Total","75-79","65+"
"1447","80",2014,293318,"Total","80-84","65+"
"1448","81",2014,276571,"Total","80-84","65+"
"1449","82",2014,266116,"Total","80-84","65+"
"1450","83",2014,249473,"Total","80-84","65+"
"1451","84",2014,228883,"Total","80-84","65+"
"1452","85",2014,202900,"Total","85-89","65+"
"1453","86",2014,179149,"Total","85-89","65+"
"1454","87",2014,160080,"Total","85-89","65+"
"1455","88",2014,141345,"Total","85-89","65+"
"1456","89",2014,121637,"Total","85-89","65+"
"1457",NA,2014,470405,"Total",NA,NA
"1458","0",2015,662977,"Total","0-4","0-14"
"1459","1",2015,670993,"Total","0-4","0-14"
"1460","2",2015,688932,"Total","0-4","0-14"
"1461","3",2015,712587,"Total","0-4","0-14"
"1462","4",2015,699191,"Total","0-4","0-14"
"1463","5",2015,687611,"Total","5-9","0-14"
"1464","6",2015,677724,"Total","5-9","0-14"
"1465","7",2015,683397,"Total","5-9","0-14"
"1466","8",2015,661182,"Total","5-9","0-14"
"1467","9",2015,647549,"Total","5-9","0-14"
"1468","10",2015,620073,"Total","10-14","0-14"
"1469","11",2015,609790,"Total","10-14","0-14"
"1470","12",2015,592130,"Total","10-14","0-14"
"1471","13",2015,581609,"Total","10-14","0-14"
"1472","14",2015,596693,"Total","10-14","0-14"
"1473","15",2015,612676,"Total","15-19","15-64"
"1474","16",2015,631635,"Total","15-19","15-64"
"1475","17",2015,641107,"Total","15-19","15-64"
"1476","18",2015,661031,"Total","15-19","15-64"
"1477","19",2015,666840,"Total","15-19","15-64"
"1478","20",2015,673761,"Total","20-24","15-64"
"1479","21",2015,701685,"Total","20-24","15-64"
"1480","22",2015,712095,"Total","20-24","15-64"
"1481","23",2015,740862,"Total","20-24","15-64"
"1482","24",2015,763854,"Total","20-24","15-64"
"1483","25",2015,754595,"Total","25-29","15-64"
"1484","26",2015,749216,"Total","25-29","15-64"
"1485","27",2015,759356,"Total","25-29","15-64"
"1486","28",2015,742544,"Total","25-29","15-64"
"1487","29",2015,752257,"Total","25-29","15-64"
"1488","30",2015,754383,"Total","30-34","15-64"
"1489","31",2015,737768,"Total","30-34","15-64"
"1490","32",2015,744176,"Total","30-34","15-64"
"1491","33",2015,742944,"Total","30-34","15-64"
"1492","34",2015,748757,"Total","30-34","15-64"
"1493","35",2015,749992,"Total","35-39","15-64"
"1494","36",2015,719287,"Total","35-39","15-64"
"1495","37",2015,670798,"Total","35-39","15-64"
"1496","38",2015,660061,"Total","35-39","15-64"
"1497","39",2015,670780,"Total","35-39","15-64"
"1498","40",2015,683903,"Total","40-44","15-64"
"1499","41",2015,694559,"Total","40-44","15-64"
"1500","42",2015,724677,"Total","40-44","15-64"
"1501","43",2015,754561,"Total","40-44","15-64"
"1502","44",2015,778754,"Total","40-44","15-64"
"1503","45",2015,759786,"Total","45-49","15-64"
"1504","46",2015,777437,"Total","45-49","15-64"
"1505","47",2015,776611,"Total","45-49","15-64"
"1506","48",2015,787611,"Total","45-49","15-64"
"1507","49",2015,787915,"Total","45-49","15-64"
"1508","50",2015,791066,"Total","50-54","15-64"
"1509","51",2015,783305,"Total","50-54","15-64"
"1510","52",2015,765857,"Total","50-54","15-64"
"1511","53",2015,748704,"Total","50-54","15-64"
"1512","54",2015,722068,"Total","50-54","15-64"
"1513","55",2015,692374,"Total","55-59","15-64"
"1514","56",2015,676158,"Total","55-59","15-64"
"1515","57",2015,661089,"Total","55-59","15-64"
"1516","58",2015,635797,"Total","55-59","15-64"
"1517","59",2015,612904,"Total","55-59","15-64"
"1518","60",2015,590280,"Total","60-64","15-64"
"1519","61",2015,591581,"Total","60-64","15-64"
"1520","62",2015,583991,"Total","60-64","15-64"
"1521","63",2015,567596,"Total","60-64","15-64"
"1522","64",2015,571273,"Total","60-64","15-64"
"1523","65",2015,582595,"Total","65-69","65+"
"1524","66",2015,596441,"Total","65-69","65+"
"1525","67",2015,629564,"Total","65-69","65+"
"1526","68",2015,682834,"Total","65-69","65+"
"1527","69",2015,525701,"Total","65-69","65+"
"1528","70",2015,508499,"Total","70-74","65+"
"1529","71",2015,504922,"Total","70-74","65+"
"1530","72",2015,467555,"Total","70-74","65+"
"1531","73",2015,415572,"Total","70-74","65+"
"1532","74",2015,372072,"Total","70-74","65+"
"1533","75",2015,385501,"Total","75-79","65+"
"1534","76",2015,380304,"Total","75-79","65+"
"1535","77",2015,367100,"Total","75-79","65+"
"1536","78",2015,345778,"Total","75-79","65+"
"1537","79",2015,325545,"Total","75-79","65+"
"1538","80",2015,305377,"Total","80-84","65+"
"1539","81",2015,278932,"Total","80-84","65+"
"1540","82",2015,261228,"Total","80-84","65+"
"1541","83",2015,249194,"Total","80-84","65+"
"1542","84",2015,231569,"Total","80-84","65+"
"1543","85",2015,210446,"Total","85-89","65+"
"1544","86",2015,184425,"Total","85-89","65+"
"1545","87",2015,160779,"Total","85-89","65+"
"1546","88",2015,141595,"Total","85-89","65+"
"1547","89",2015,123076,"Total","85-89","65+"
"1548",NA,2015,474968,"Total",NA,NA
"1549","0",2015,4621,"Non-UK born","0-4","0-14"
"1550","0",2015,586907,"UK born","0-4","0-14"
"1551","0",2015,476,NA,"0-4","0-14"
"1552","1",2015,12053,"Non-UK born","0-4","0-14"
"1553","1",2015,668415,"UK born","0-4","0-14"
"1554","2",2015,31812,"Non-UK born","0-4","0-14"
"1555","2",2015,663818,"UK born","0-4","0-14"
"1556","3",2015,26660,"Non-UK born","0-4","0-14"
"1557","3",2015,733114,"UK born","0-4","0-14"
"1558","4",2015,28473,"Non-UK born","0-4","0-14"
"1559","4",2015,675610,"UK born","0-4","0-14"
"1560","5",2015,46371,"Non-UK born","5-9","0-14"
"1561","5",2015,668786,"UK born","5-9","0-14"
"1562","5",2015,569,NA,"5-9","0-14"
"1563","6",2015,36533,"Non-UK born","5-9","0-14"
"1564","6",2015,645036,"UK born","5-9","0-14"
"1565","7",2015,48155,"Non-UK born","5-9","0-14"
"1566","7",2015,629708,"UK born","5-9","0-14"
"1567","8",2015,51176,"Non-UK born","5-9","0-14"
"1568","8",2015,608402,"UK born","5-9","0-14"
"1569","8",2015,569,NA,"5-9","0-14"
"1570","9",2015,45470,"Non-UK born","5-9","0-14"
"1571","9",2015,567028,"UK born","5-9","0-14"
"1572","10",2015,52060,"Non-UK born","10-14","0-14"
"1573","10",2015,560331,"UK born","10-14","0-14"
"1574","11",2015,48818,"Non-UK born","10-14","0-14"
"1575","11",2015,555451,"UK born","10-14","0-14"
"1576","12",2015,60951,"Non-UK born","10-14","0-14"
"1577","12",2015,535664,"UK born","10-14","0-14"
"1578","12",2015,524,NA,"10-14","0-14"
"1579","13",2015,60680,"Non-UK born","10-14","0-14"
"1580","13",2015,528460,"UK born","10-14","0-14"
"1581","13",2015,524,NA,"10-14","0-14"
"1582","14",2015,62636,"Non-UK born","10-14","0-14"
"1583","14",2015,518582,"UK born","10-14","0-14"
"1584","15",2015,59321,"Non-UK born","15-19","15-64"
"1585","15",2015,534659,"UK born","15-19","15-64"
"1586","16",2015,55645,"Non-UK born","15-19","15-64"
"1587","16",2015,564930,"UK born","15-19","15-64"
"1588","17",2015,79819,"Non-UK born","15-19","15-64"
"1589","17",2015,540931,"UK born","15-19","15-64"
"1590","18",2015,73176,"Non-UK born","15-19","15-64"
"1591","18",2015,578141,"UK born","15-19","15-64"
"1592","19",2015,65162,"Non-UK born","15-19","15-64"
"1593","19",2015,582964,"UK born","15-19","15-64"
"1594","19",2015,859,NA,"15-19","15-64"
"1595","20",2015,93575,"Non-UK born","20-24","15-64"
"1596","20",2015,568495,"UK born","20-24","15-64"
"1597","20",2015,783,NA,"20-24","15-64"
"1598","21",2015,100314,"Non-UK born","20-24","15-64"
"1599","21",2015,588255,"UK born","20-24","15-64"
"1600","21",2015,1019,NA,"20-24","15-64"
"1601","22",2015,96126,"Non-UK born","20-24","15-64"
"1602","22",2015,609942,"UK born","20-24","15-64"
"1603","23",2015,95558,"Non-UK born","20-24","15-64"
"1604","23",2015,630222,"UK born","20-24","15-64"
"1605","24",2015,111335,"Non-UK born","20-24","15-64"
"1606","24",2015,639461,"UK born","20-24","15-64"
"1607","24",2015,1185,NA,"20-24","15-64"
"1608","25",2015,137058,"Non-UK born","25-29","15-64"
"1609","25",2015,570930,"UK born","25-29","15-64"
"1610","26",2015,166426,"Non-UK born","25-29","15-64"
"1611","26",2015,566493,"UK born","25-29","15-64"
"1612","26",2015,960,NA,"25-29","15-64"
"1613","27",2015,161668,"Non-UK born","25-29","15-64"
"1614","27",2015,560423,"UK born","25-29","15-64"
"1615","28",2015,179431,"Non-UK born","25-29","15-64"
"1616","28",2015,576855,"UK born","25-29","15-64"
"1617","28",2015,530,NA,"25-29","15-64"
"1618","29",2015,198488,"Non-UK born","25-29","15-64"
"1619","29",2015,592411,"UK born","25-29","15-64"
"1620","29",2015,1075,NA,"25-29","15-64"
"1621","30",2015,193099,"Non-UK born","30-34","15-64"
"1622","30",2015,496855,"UK born","30-34","15-64"
"1623","30",2015,872,NA,"30-34","15-64"
"1624","31",2015,178153,"Non-UK born","30-34","15-64"
"1625","31",2015,482156,"UK born","30-34","15-64"
"1626","32",2015,250540,"Non-UK born","30-34","15-64"
"1627","32",2015,510718,"UK born","30-34","15-64"
"1628","32",2015,679,NA,"30-34","15-64"
"1629","33",2015,244970,"Non-UK born","30-34","15-64"
"1630","33",2015,536294,"UK born","30-34","15-64"
"1631","34",2015,247286,"Non-UK born","30-34","15-64"
"1632","34",2015,555696,"UK born","30-34","15-64"
"1633","35",2015,205148,"Non-UK born","35-39","15-64"
"1634","35",2015,523858,"UK born","35-39","15-64"
"1635","35",2015,566,NA,"35-39","15-64"
"1636","36",2015,195865,"Non-UK born","35-39","15-64"
"1637","36",2015,515975,"UK born","35-39","15-64"
"1638","37",2015,210186,"Non-UK born","35-39","15-64"
"1639","37",2015,496040,"UK born","35-39","15-64"
"1640","38",2015,210306,"Non-UK born","35-39","15-64"
"1641","38",2015,459081,"UK born","35-39","15-64"
"1642","39",2015,174683,"Non-UK born","35-39","15-64"
"1643","39",2015,450511,"UK born","35-39","15-64"
"1644","40",2015,170171,"Non-UK born","40-44","15-64"
"1645","40",2015,509141,"UK born","40-44","15-64"
"1646","40",2015,582,NA,"40-44","15-64"
"1647","41",2015,185193,"Non-UK born","40-44","15-64"
"1648","41",2015,542073,"UK born","40-44","15-64"
"1649","42",2015,168851,"Non-UK born","40-44","15-64"
"1650","42",2015,528964,"UK born","40-44","15-64"
"1651","42",2015,666,NA,"40-44","15-64"
"1652","43",2015,132571,"Non-UK born","40-44","15-64"
"1653","43",2015,579696,"UK born","40-44","15-64"
"1654","43",2015,640,NA,"40-44","15-64"
"1655","44",2015,149481,"Non-UK born","40-44","15-64"
"1656","44",2015,652820,"UK born","40-44","15-64"
"1657","45",2015,158609,"Non-UK born","45-49","15-64"
"1658","45",2015,637132,"UK born","45-49","15-64"
"1659","45",2015,1292,NA,"45-49","15-64"
"1660","46",2015,136764,"Non-UK born","45-49","15-64"
"1661","46",2015,629247,"UK born","45-49","15-64"
"1662","47",2015,114091,"Non-UK born","45-49","15-64"
"1663","47",2015,631495,"UK born","45-49","15-64"
"1664","48",2015,121964,"Non-UK born","45-49","15-64"
"1665","48",2015,660583,"UK born","45-49","15-64"
"1666","48",2015,892,NA,"45-49","15-64"
"1667","49",2015,110275,"Non-UK born","45-49","15-64"
"1668","49",2015,666669,"UK born","45-49","15-64"
"1669","50",2015,123537,"Non-UK born","50-54","15-64"
"1670","50",2015,662321,"UK born","50-54","15-64"
"1671","51",2015,115826,"Non-UK born","50-54","15-64"
"1672","51",2015,663971,"UK born","50-54","15-64"
"1673","51",2015,784,NA,"50-54","15-64"
"1674","52",2015,99594,"Non-UK born","50-54","15-64"
"1675","52",2015,636610,"UK born","50-54","15-64"
"1676","53",2015,103550,"Non-UK born","50-54","15-64"
"1677","53",2015,655248,"UK born","50-54","15-64"
"1678","54",2015,89304,"Non-UK born","50-54","15-64"
"1679","54",2015,630764,"UK born","50-54","15-64"
"1680","55",2015,93646,"Non-UK born","55-59","15-64"
"1681","55",2015,571293,"UK born","55-59","15-64"
"1682","56",2015,93884,"Non-UK born","55-59","15-64"
"1683","56",2015,542959,"UK born","55-59","15-64"
"1684","56",2015,1392,NA,"55-59","15-64"
"1685","57",2015,88012,"Non-UK born","55-59","15-64"
"1686","57",2015,573511,"UK born","55-59","15-64"
"1687","58",2015,78468,"Non-UK born","55-59","15-64"
"1688","58",2015,579308,"UK born","55-59","15-64"
"1689","58",2015,872,NA,"55-59","15-64"
"1690","59",2015,88119,"Non-UK born","55-59","15-64"
"1691","59",2015,539798,"UK born","55-59","15-64"
"1692","59",2015,721,NA,"55-59","15-64"
"1693","60",2015,74390,"Non-UK born","60-64","15-64"
"1694","60",2015,510694,"UK born","60-64","15-64"
"1695","60",2015,588,NA,"60-64","15-64"
"1696","61",2015,70028,"Non-UK born","60-64","15-64"
"1697","61",2015,477355,"UK born","60-64","15-64"
"1698","61",2015,752,NA,"60-64","15-64"
"1699","62",2015,64945,"Non-UK born","60-64","15-64"
"1700","62",2015,527867,"UK born","60-64","15-64"
"1701","63",2015,64531,"Non-UK born","60-64","15-64"
"1702","63",2015,508304,"UK born","60-64","15-64"
"1703","64",2015,64914,"Non-UK born","60-64","15-64"
"1704","64",2015,524897,"UK born","60-64","15-64"
"1705","65",2015,64502,"Non-UK born","65-69","65+"
"1706","65",2015,547162,"UK born","65-69","65+"
"1707","66",2015,52518,"Non-UK born","65-69","65+"
"1708","66",2015,529345,"UK born","65-69","65+"
"1709","67",2015,54826,"Non-UK born","65-69","65+"
"1710","67",2015,591208,"UK born","65-69","65+"
"1711","67",2015,485,NA,"65-69","65+"
"1712","68",2015,45538,"Non-UK born","65-69","65+"
"1713","68",2015,585347,"UK born","65-69","65+"
"1714","69",2015,56236,"Non-UK born","65-69","65+"
"1715","69",2015,466226,"UK born","65-69","65+"
"1716","70",2015,52615,"Non-UK born","70-74","65+"
"1717","70",2015,470310,"UK born","70-74","65+"
"1718","71",2015,48849,"Non-UK born","70-74","65+"
"1719","71",2015,451737,"UK born","70-74","65+"
"1720","72",2015,50196,"Non-UK born","70-74","65+"
"1721","72",2015,424465,"UK born","70-74","65+"
"1722","73",2015,32621,"Non-UK born","70-74","65+"
"1723","73",2015,336763,"UK born","70-74","65+"
"1724","74",2015,35704,"Non-UK born","70-74","65+"
"1725","74",2015,335420,"UK born","70-74","65+"
"1726","75",2015,25833,"Non-UK born","75-79","65+"
"1727","75",2015,363742,"UK born","75-79","65+"
"1728","76",2015,29699,"Non-UK born","75-79","65+"
"1729","76",2015,307056,"UK born","75-79","65+"
"1730","77",2015,29915,"Non-UK born","75-79","65+"
"1731","77",2015,329655,"UK born","75-79","65+"
"1732","78",2015,21268,"Non-UK born","75-79","65+"
"1733","78",2015,310546,"UK born","75-79","65+"
"1734","79",2015,30504,"Non-UK born","75-79","65+"
"1735","79",2015,316677,"UK born","75-79","65+"
"1736","80",2015,39251,"Non-UK born","80-84","65+"
"1737","80",2015,325267,"UK born","80-84","65+"
"1738","81",2015,17505,"Non-UK born","80-84","65+"
"1739","81",2015,224043,"UK born","80-84","65+"
"1740","82",2015,13135,"Non-UK born","80-84","65+"
"1741","82",2015,204975,"UK born","80-84","65+"
"1742","83",2015,30169,"Non-UK born","80-84","65+"
"1743","83",2015,178355,"UK born","80-84","65+"
"1744","84",2015,5214,"Non-UK born","80-84","65+"
"1745","84",2015,219991,"UK born","80-84","65+"
"1746","85",2015,18141,"Non-UK born","85-89","65+"
"1747","85",2015,181007,"UK born","85-89","65+"
"1748","86",2015,17135,"Non-UK born","85-89","65+"
"1749","86",2015,166967,"UK born","85-89","65+"
"1750","87",2015,6943,"Non-UK born","85-89","65+"
"1751","87",2015,139085,"UK born","85-89","65+"
"1752","88",2015,6466,"Non-UK born","85-89","65+"
"1753","88",2015,117172,"UK born","85-89","65+"
"1754","89",2015,7571,"Non-UK born","85-89","65+"
"1755","89",2015,102618,"UK born","85-89","65+"
"1756","90+",2015,29195,"Non-UK born","90+","65+"
"1757","90+",2015,307069,"UK born","90+","65+"
"1758","0",2016,6999,"Non-UK born","0-4","0-14"
"1759","0",2016,598129,"UK born","0-4","0-14"
"1760","1",2016,8761,"Non-UK born","0-4","0-14"
"1761","1",2016,642828,"UK born","0-4","0-14"
"1762","1",2016,568,NA,"0-4","0-14"
"1763","2",2016,21139,"Non-UK born","0-4","0-14"
"1764","2",2016,656409,"UK born","0-4","0-14"
"1765","3",2016,25055,"Non-UK born","0-4","0-14"
"1766","3",2016,715969,"UK born","0-4","0-14"
"1767","4",2016,35505,"Non-UK born","0-4","0-14"
"1768","4",2016,715746,"UK born","0-4","0-14"
"1769","5",2016,36775,"Non-UK born","5-9","0-14"
"1770","5",2016,655620,"UK born","5-9","0-14"
"1771","5",2016,1173,NA,"5-9","0-14"
"1772","6",2016,51025,"Non-UK born","5-9","0-14"
"1773","6",2016,638885,"UK born","5-9","0-14"
"1774","7",2016,51565,"Non-UK born","5-9","0-14"
"1775","7",2016,648370,"UK born","5-9","0-14"
"1776","7",2016,484,NA,"5-9","0-14"
"1777","8",2016,51185,"Non-UK born","5-9","0-14"
"1778","8",2016,612793,"UK born","5-9","0-14"
"1779","9",2016,55547,"Non-UK born","5-9","0-14"
"1780","9",2016,616246,"UK born","5-9","0-14"
"1781","10",2016,51996,"Non-UK born","10-14","0-14"
"1782","10",2016,569746,"UK born","10-14","0-14"
"1783","10",2016,636,NA,"10-14","0-14"
"1784","11",2016,48529,"Non-UK born","10-14","0-14"
"1785","11",2016,569201,"UK born","10-14","0-14"
"1786","12",2016,61277,"Non-UK born","10-14","0-14"
"1787","12",2016,582114,"UK born","10-14","0-14"
"1788","12",2016,727,NA,"10-14","0-14"
"1789","13",2016,57440,"Non-UK born","10-14","0-14"
"1790","13",2016,521480,"UK born","10-14","0-14"
"1791","14",2016,60722,"Non-UK born","10-14","0-14"
"1792","14",2016,531604,"UK born","10-14","0-14"
"1793","15",2016,58827,"Non-UK born","15-19","15-64"
"1794","15",2016,518877,"UK born","15-19","15-64"
"1795","15",2016,610,NA,"15-19","15-64"
"1796","16",2016,70641,"Non-UK born","15-19","15-64"
"1797","16",2016,532836,"UK born","15-19","15-64"
"1798","16",2016,701,NA,"15-19","15-64"
"1799","17",2016,65350,"Non-UK born","15-19","15-64"
"1800","17",2016,550664,"UK born","15-19","15-64"
"1801","17",2016,546,NA,"15-19","15-64"
"1802","18",2016,74688,"Non-UK born","15-19","15-64"
"1803","18",2016,571623,"UK born","15-19","15-64"
"1804","18",2016,615,NA,"15-19","15-64"
"1805","19",2016,74564,"Non-UK born","15-19","15-64"
"1806","19",2016,576815,"UK born","15-19","15-64"
"1807","19",2016,1748,NA,"15-19","15-64"
"1808","20",2016,82829,"Non-UK born","20-24","15-64"
"1809","20",2016,578897,"UK born","20-24","15-64"
"1810","20",2016,2510,NA,"20-24","15-64"
"1811","21",2016,89744,"Non-UK born","20-24","15-64"
"1812","21",2016,591254,"UK born","20-24","15-64"
"1813","22",2016,108016,"Non-UK born","20-24","15-64"
"1814","22",2016,588273,"UK born","20-24","15-64"
"1815","22",2016,1050,NA,"20-24","15-64"
"1816","23",2016,119413,"Non-UK born","20-24","15-64"
"1817","23",2016,597831,"UK born","20-24","15-64"
"1818","23",2016,746,NA,"20-24","15-64"
"1819","24",2016,131337,"Non-UK born","20-24","15-64"
"1820","24",2016,611869,"UK born","20-24","15-64"
"1821","24",2016,2399,NA,"20-24","15-64"
"1822","25",2016,131593,"Non-UK born","25-29","15-64"
"1823","25",2016,541375,"UK born","25-29","15-64"
"1824","25",2016,2495,NA,"25-29","15-64"
"1825","26",2016,153700,"Non-UK born","25-29","15-64"
"1826","26",2016,569360,"UK born","25-29","15-64"
"1827","26",2016,2405,NA,"25-29","15-64"
"1828","27",2016,169227,"Non-UK born","25-29","15-64"
"1829","27",2016,542200,"UK born","25-29","15-64"
"1830","28",2016,231143,"Non-UK born","25-29","15-64"
"1831","28",2016,601697,"UK born","25-29","15-64"
"1832","29",2016,235542,"Non-UK born","25-29","15-64"
"1833","29",2016,582777,"UK born","25-29","15-64"
"1834","29",2016,926,NA,"25-29","15-64"
"1835","30",2016,204704,"Non-UK born","30-34","15-64"
"1836","30",2016,548070,"UK born","30-34","15-64"
"1837","31",2016,192476,"Non-UK born","30-34","15-64"
"1838","31",2016,525091,"UK born","30-34","15-64"
"1839","32",2016,218966,"Non-UK born","30-34","15-64"
"1840","32",2016,485355,"UK born","30-34","15-64"
"1841","33",2016,240505,"Non-UK born","30-34","15-64"
"1842","33",2016,525701,"UK born","30-34","15-64"
"1843","33",2016,697,NA,"30-34","15-64"
"1844","34",2016,239695,"Non-UK born","30-34","15-64"
"1845","34",2016,537287,"UK born","30-34","15-64"
"1846","35",2016,200464,"Non-UK born","35-39","15-64"
"1847","35",2016,510469,"UK born","35-39","15-64"
"1848","35",2016,915,NA,"35-39","15-64"
"1849","36",2016,230541,"Non-UK born","35-39","15-64"
"1850","36",2016,530582,"UK born","35-39","15-64"
"1851","36",2016,842,NA,"35-39","15-64"
"1852","37",2016,210229,"Non-UK born","35-39","15-64"
"1853","37",2016,481001,"UK born","35-39","15-64"
"1854","38",2016,173265,"Non-UK born","35-39","15-64"
"1855","38",2016,489027,"UK born","35-39","15-64"
"1856","38",2016,576,NA,"35-39","15-64"
"1857","39",2016,201725,"Non-UK born","35-39","15-64"
"1858","39",2016,496223,"UK born","35-39","15-64"
"1859","39",2016,918,NA,"35-39","15-64"
"1860","40",2016,202328,"Non-UK born","40-44","15-64"
"1861","40",2016,472666,"UK born","40-44","15-64"
"1862","41",2016,176894,"Non-UK born","40-44","15-64"
"1863","41",2016,508131,"UK born","40-44","15-64"
