"","Age","Year","Population","CoB","Age group","Age group (condensed)"
"928","16",2009,653819,"Total","15-19","15-64"
"929","17",2009,673880,"Total","15-19","15-64"
"930","18",2009,693106,"Total","15-19","15-64"
"931","19",2009,682829,"Total","15-19","15-64"
"932","20",2009,675117,"Total","20-24","15-64"
"933","21",2009,689349,"Total","20-24","15-64"
"934","22",2009,680751,"Total","20-24","15-64"
"935","23",2009,700960,"Total","20-24","15-64"
"936","24",2009,719890,"Total","20-24","15-64"
"937","25",2009,707422,"Total","25-29","15-64"
"938","26",2009,712010,"Total","25-29","15-64"
"939","27",2009,712828,"Total","25-29","15-64"
"940","28",2009,728405,"Total","25-29","15-64"
"941","29",2009,735033,"Total","25-29","15-64"
"942","30",2009,706521,"Total","30-34","15-64"
"943","31",2009,662684,"Total","30-34","15-64"
"944","32",2009,652679,"Total","30-34","15-64"
"945","33",2009,666024,"Total","30-34","15-64"
"946","34",2009,680264,"Total","30-34","15-64"
"947","35",2009,692103,"Total","35-39","15-64"
"948","36",2009,722633,"Total","35-39","15-64"
"949","37",2009,754152,"Total","35-39","15-64"
"950","38",2009,778379,"Total","35-39","15-64"
"951","39",2009,762999,"Total","35-39","15-64"
"952","40",2009,781846,"Total","40-44","15-64"
"953","41",2009,781924,"Total","40-44","15-64"
"954","42",2009,794641,"Total","40-44","15-64"
"955","43",2009,793740,"Total","40-44","15-64"
"956","44",2009,795865,"Total","40-44","15-64"
"957","45",2009,787620,"Total","45-49","15-64"
"958","46",2009,772191,"Total","45-49","15-64"
"959","47",2009,754557,"Total","45-49","15-64"
"960","48",2009,730132,"Total","45-49","15-64"
"961","49",2009,702356,"Total","45-49","15-64"
"962","50",2009,687234,"Total","50-54","15-64"
"963","51",2009,673930,"Total","50-54","15-64"
"964","52",2009,648682,"Total","50-54","15-64"
"965","53",2009,626960,"Total","50-54","15-64"
"966","54",2009,605507,"Total","50-54","15-64"
"967","55",2009,608658,"Total","55-59","15-64"
"968","56",2009,601154,"Total","55-59","15-64"
"969","57",2009,588229,"Total","55-59","15-64"
"970","58",2009,592936,"Total","55-59","15-64"
"971","59",2009,607393,"Total","55-59","15-64"
"972","60",2009,624614,"Total","60-64","15-64"
"973","61",2009,664134,"Total","60-64","15-64"
"974","62",2009,717487,"Total","60-64","15-64"
"975","63",2009,560648,"Total","60-64","15-64"
"976","64",2009,545922,"Total","60-64","15-64"
"977","65",2009,542642,"Total","65-69","65+"
"978","66",2009,509094,"Total","65-69","65+"
"979","67",2009,456511,"Total","65-69","65+"
"980","68",2009,416018,"Total","65-69","65+"
"981","69",2009,434993,"Total","65-69","65+"
"982","70",2009,433226,"Total","70-74","65+"
"983","71",2009,423966,"Total","70-74","65+"
"984","72",2009,406875,"Total","70-74","65+"
"985","73",2009,390342,"Total","70-74","65+"
"986","74",2009,374108,"Total","70-74","65+"
"987","75",2009,351142,"Total","75-79","65+"
"988","76",2009,339242,"Total","75-79","65+"
"989","77",2009,334297,"Total","75-79","65+"
"990","78",2009,323746,"Total","75-79","65+"
"991","79",2009,306159,"Total","75-79","65+"
"992","80",2009,282925,"Total","80-84","65+"
"993","81",2009,260739,"Total","80-84","65+"
"994","82",2009,244427,"Total","80-84","65+"
"995","83",2009,227204,"Total","80-84","65+"
"996","84",2009,206894,"Total","80-84","65+"
"997","85",2009,188533,"Total","85-89","65+"
"998","86",2009,171171,"Total","85-89","65+"
"999","87",2009,157676,"Total","85-89","65+"
"1000","88",2009,142549,"Total","85-89","65+"
"1001","89",2009,115690,"Total","85-89","65+"
"1002",NA,2009,360118,"Total",NA,NA
"1003","0",2010,672051,"Total","0-4","0-14"
"1004","1",2010,661491,"Total","0-4","0-14"
"1005","2",2010,667806,"Total","0-4","0-14"
"1006","3",2010,645584,"Total","0-4","0-14"
"1007","4",2010,633562,"Total","0-4","0-14"
"1008","5",2010,608246,"Total","5-9","0-14"
"1009","6",2010,598113,"Total","5-9","0-14"
"1010","7",2010,579655,"Total","5-9","0-14"
"1011","8",2010,567722,"Total","5-9","0-14"
"1012","9",2010,580615,"Total","5-9","0-14"
"1013","10",2010,596097,"Total","10-14","0-14"
"1014","11",2010,614236,"Total","10-14","0-14"
"1015","12",2010,622005,"Total","10-14","0-14"
"1016","13",2010,639481,"Total","10-14","0-14"
"1017","14",2010,637420,"Total","10-14","0-14"
"1018","15",2010,636708,"Total","15-19","15-64"
"1019","16",2010,658326,"Total","15-19","15-64"
"1020","17",2010,660308,"Total","15-19","15-64"
"1021","18",2010,682632,"Total","15-19","15-64"
"1022","19",2010,705157,"Total","15-19","15-64"
"1023","20",2010,695081,"Total","20-24","15-64"
"1024","21",2010,691930,"Total","20-24","15-64"
"1025","22",2010,709439,"Total","20-24","15-64"
"1026","23",2010,699184,"Total","20-24","15-64"
"1027","24",2010,719904,"Total","20-24","15-64"
"1028","25",2010,727356,"Total","25-29","15-64"
"1029","26",2010,714706,"Total","25-29","15-64"
"1030","27",2010,721095,"Total","25-29","15-64"
"1031","28",2010,723034,"Total","25-29","15-64"
"1032","29",2010,737413,"Total","25-29","15-64"
"1033","30",2010,739813,"Total","30-34","15-64"
"1034","31",2010,710894,"Total","30-34","15-64"
"1035","32",2010,665180,"Total","30-34","15-64"
"1036","33",2010,654907,"Total","30-34","15-64"
"1037","34",2010,668279,"Total","30-34","15-64"
"1038","35",2010,681595,"Total","35-39","15-64"
"1039","36",2010,693230,"Total","35-39","15-64"
"1040","37",2010,723461,"Total","35-39","15-64"
"1041","38",2010,754304,"Total","35-39","15-64"
"1042","39",2010,779278,"Total","35-39","15-64"
"1043","40",2010,761581,"Total","40-44","15-64"
"1044","41",2010,780107,"Total","40-44","15-64"
"1045","42",2010,779771,"Total","40-44","15-64"
"1046","43",2010,791841,"Total","40-44","15-64"
"1047","44",2010,791139,"Total","40-44","15-64"
"1048","45",2010,794889,"Total","45-49","15-64"
"1049","46",2010,787069,"Total","45-49","15-64"
"1050","47",2010,771413,"Total","45-49","15-64"
"1051","48",2010,754346,"Total","45-49","15-64"
"1052","49",2010,729121,"Total","45-49","15-64"
"1053","50",2010,700214,"Total","50-54","15-64"
"1054","51",2010,684929,"Total","50-54","15-64"
"1055","52",2010,670745,"Total","50-54","15-64"
"1056","53",2010,645874,"Total","50-54","15-64"
"1057","54",2010,624274,"Total","50-54","15-64"
"1058","55",2010,603185,"Total","55-59","15-64"
"1059","56",2010,606033,"Total","55-59","15-64"
"1060","57",2010,598956,"Total","55-59","15-64"
"1061","58",2010,584766,"Total","55-59","15-64"
"1062","59",2010,589740,"Total","55-59","15-64"
"1063","60",2010,603719,"Total","60-64","15-64"
"1064","61",2010,620421,"Total","60-64","15-64"
"1065","62",2010,658433,"Total","60-64","15-64"
"1066","63",2010,713933,"Total","60-64","15-64"
"1067","64",2010,555040,"Total","60-64","15-64"
"1068","65",2010,540459,"Total","65-69","65+"
"1069","66",2010,538283,"Total","65-69","65+"
"1070","67",2010,503365,"Total","65-69","65+"
"1071","68",2010,451108,"Total","65-69","65+"
"1072","69",2010,409360,"Total","65-69","65+"
"1073","70",2010,427710,"Total","70-74","65+"
"1074","71",2010,425685,"Total","70-74","65+"
"1075","72",2010,415802,"Total","70-74","65+"
"1076","73",2010,397929,"Total","70-74","65+"
"1077","74",2010,380763,"Total","70-74","65+"
"1078","75",2010,364343,"Total","75-79","65+"
"1079","76",2010,340677,"Total","75-79","65+"
